"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.10875,11.1020408163265,7.79160174209822
0.10875,11.1836734693878,7.31920261183087
0.10875,11.265306122449,6.89388103712531
0.10875,11.3469387755102,6.50894058997495
0.10875,11.4285714285714,6.15879054636835
0.10875,11.5102040816327,5.83874907535211
0.10875,11.5918367346939,5.54488335216947
0.10875,11.6734693877551,5.27388320619229
0.10875,11.7551020408163,5.02296360751239
0.10875,11.8367346938776,4.78979132948634
0.10875,11.9183673469388,4.57243162220084
0.10875,12,4.36931132138589
0.116041666666667,8,-4.77560891205799
0.116041666666667,8.08163265306123,-5.07710670357846
0.116041666666667,8.16326530612245,-5.46168227270062
0.116041666666667,8.24489795918367,-6.00865030506163
0.116041666666667,8.3265306122449,-6.27703966831737
0.116041666666667,8.40816326530612,-5.14482305146401
0.116041666666667,8.48979591836735,-5.98104049428674
0.116041666666667,8.57142857142857,-6.5675431636881
0.116041666666667,8.65306122448979,-7.11780192327164
0.116041666666667,8.73469387755102,-7.69238588985869
0.116041666666667,8.81632653061225,-8.32029161356854
0.116041666666667,8.89795918367347,-9.02282513188907
0.116041666666667,8.97959183673469,-9.82000538121166
0.116041666666667,9.06122448979592,-10.7327739417734
0.116041666666667,9.14285714285714,-11.7833450138342
0.116041666666667,9.22448979591837,-12.9932221898472
0.116041666666667,9.30612244897959,-14.3760223192576
0.116041666666667,9.38775510204082,-15.9173997873309
0.116041666666667,9.46938775510204,-17.5226934833532
0.116041666666667,9.55102040816326,-18.8862698326689
0.116041666666667,9.63265306122449,-19.1933030129373
0.116041666666667,9.71428571428572,-16.6275480763839
0.116041666666667,9.79591836734694,-8.65048427562895
0.116041666666667,9.87755102040816,3.71208713390666
0.116041666666667,9.95918367346939,13.4334504093668
0.116041666666667,10.0408163265306,17.5171959265924
0.116041666666667,10.1224489795918,18.0844708858224
0.116041666666667,10.2040816326531,17.1954736204629
0.116041666666667,10.2857142857143,15.8600995091654
0.116041666666667,10.3673469387755,14.4842573739361
0.116041666666667,10.4489795918367,13.2109900703307
0.116041666666667,10.530612244898,12.0784720586259
0.116041666666667,10.6122448979592,11.0854959335921
0.116041666666667,10.6938775510204,10.2177119930236
0.116041666666667,10.7755102040816,9.45788159114345
0.116041666666667,10.8571428571429,8.78966560993594
0.116041666666667,10.9387755102041,8.1988131970539
0.116041666666667,11.0204081632653,7.67333026624159
0.116041666666667,11.1020408163265,7.20327656628434
0.116041666666667,11.1836734693878,6.7804559506312
0.116041666666667,11.265306122449,6.39810427561454
0.116041666666667,11.3469387755102,6.05061256197258
0.116041666666667,11.4285714285714,5.73329573842667
0.116041666666667,11.5102040816327,5.4422067188285
0.116041666666667,11.5918367346939,5.17399201641022
0.116041666666667,11.6734693877551,4.92578437139393
0.116041666666667,11.7551020408163,4.69512815654312
0.116041666666667,11.8367346938776,4.47993386928042
0.116041666666667,11.9183673469388,4.27845851419784
0.116041666666667,12,4.08930901470455
0.123333333333333,8,-4.89146673212334
0.123333333333333,8.08163265306123,-4.92904724400876
0.123333333333333,8.16326530612245,-5.07363085775575
0.123333333333333,8.24489795918367,-5.30653171603187
0.123333333333333,8.3265306122449,-5.61431746751317
0.123333333333333,8.40816326530612,-5.98825838949134
0.123333333333333,8.48979591836735,-6.42386176383042
0.123333333333333,8.57142857142857,-6.92052063865108
0.123333333333333,8.65306122448979,-7.48129938248349
0.123333333333333,8.73469387755102,-8.11286898695526
