"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(1,1)) []"
0.0795833333333333,9.71428571428572,0.25118333202404
0.0795833333333333,9.72448979591837,0.254450603427041
0.0795833333333333,9.73469387755102,0.257776479212384
0.0795833333333333,9.74489795918367,0.261161722794979
0.0795833333333333,9.75510204081633,0.264607039766433
0.0795833333333333,9.76530612244898,0.268113068570544
0.0795833333333333,9.77551020408163,0.271680370239471
0.0795833333333333,9.78571428571428,0.275309417135027
0.0795833333333333,9.79591836734694,0.279000580600446
0.0795833333333333,9.80612244897959,0.282754117485705
0.0795833333333333,9.81632653061225,0.28657015543361
0.0795833333333333,9.8265306122449,0.290448676901624
0.0795833333333333,9.83673469387755,0.294389501818511
0.0795833333333333,9.84693877551021,0.298392268848879
0.0795833333333333,9.85714285714286,0.302456415170264
0.0795833333333333,9.86734693877551,0.306581154780183
